Cluster path Databricks,Window number(length),Total tweets,No of positive Tweets,Number of negative tweets
dbfs:/twitter/iphone_1026,iphone_1026,1,1,0
dbfs:/twitter/iphone_1041,iphone_1041,1,0,1
dbfs:/twitter/iphone_1056,iphone_1056,1,1,0
dbfs:/twitter/iphone_1093,iphone_1093,1,0,1
dbfs:/twitter/iphone_1113,iphone_1113,1,0,1
dbfs:/twitter/iphone_1163,iphone_1163,1,1,0
dbfs:/twitter/iphone_1185,iphone_1185,1,1,0
dbfs:/twitter/iphone_1187,iphone_1187,1,0,1
dbfs:/twitter/iphone_1192,iphone_1192,1,1,0
dbfs:/twitter/iphone_1223,iphone_1223,3,1,2
dbfs:/twitter/iphone_1234,iphone_1234,3,2,1
dbfs:/twitter/iphone_1251,iphone_1251,1,0,1
dbfs:/twitter/iphone_129,iphone_129,1,0,1
dbfs:/twitter/iphone_1333,iphone_1333,1,1,0
dbfs:/twitter/iphone_1401,iphone_1401,1,0,1
dbfs:/twitter/iphone_1408,iphone_1408,1,1,0
dbfs:/twitter/iphone_1417,iphone_1417,1,1,0
dbfs:/twitter/iphone_1423,iphone_1423,1,0,1
dbfs:/twitter/iphone_147,iphone_147,1,0,1
dbfs:/twitter/iphone_1486,iphone_1486,1,0,1
dbfs:/twitter/iphone_1592,iphone_1592,1,1,0
dbfs:/twitter/iphone_1636,iphone_1636,1,0,1
dbfs:/twitter/iphone_1656,iphone_1656,1,1,0
dbfs:/twitter/iphone_1659,iphone_1659,1,0,1
dbfs:/twitter/iphone_1689,iphone_1689,1,1,0
dbfs:/twitter/iphone_1702,iphone_1702,1,1,0
dbfs:/twitter/iphone_1748,iphone_1748,2,1,1
dbfs:/twitter/iphone_1756,iphone_1756,3,1,2
dbfs:/twitter/iphone_1777,iphone_1777,1,0,1
dbfs:/twitter/iphone_1808,iphone_1808,1,1,0
dbfs:/twitter/iphone_1811,iphone_1811,0,1,1
dbfs:/twitter/iphone_1842,iphone_1842,1,0,1
dbfs:/twitter/iphone_1876,iphone_1876,1,0,1
dbfs:/twitter/iphone_1926,iphone_1926,1,1,0
dbfs:/twitter/iphone_1929,iphone_1929,1,0,1
dbfs:/twitter/iphone_193,iphone_193,1,1,0
dbfs:/twitter/iphone_1947,iphone_1947,1,0,1
dbfs:/twitter/iphone_1974,iphone_1974,1,0,1
dbfs:/twitter/iphone_1976,iphone_1976,1,1,0
dbfs:/twitter/iphone_198,iphone_198,1,0,1
dbfs:/twitter/iphone_1999,iphone_1999,1,1,0
dbfs:/twitter/iphone_2007,iphone_2007,1,0,1
dbfs:/twitter/iphone_2083,iphone_2083,1,1,0
dbfs:/twitter/iphone_2125,iphone_2125,1,1,0
dbfs:/twitter/iphone_2165,iphone_2165,2,1,1
dbfs:/twitter/iphone_2177,iphone_2177,1,0,1
dbfs:/twitter/iphone_2272,iphone_2272,1,1,0
dbfs:/twitter/iphone_2307,iphone_2307,1,0,1
dbfs:/twitter/iphone_2318,iphone_2318,1,1,0
dbfs:/twitter/iphone_2325,iphone_2325,1,1,0
dbfs:/twitter/iphone_233,iphone_233,1,0,1
dbfs:/twitter/iphone_2337,iphone_2337,1,0,1
dbfs:/twitter/iphone_2389,iphone_2389,1,0,1
dbfs:/twitter/iphone_2433,iphone_2433,1,1,0
dbfs:/twitter/iphone_2448,iphone_2448,1,0,1
dbfs:/twitter/iphone_2454,iphone_2454,1,1,0
dbfs:/twitter/iphone_2561,iphone_2561,1,1,0
dbfs:/twitter/iphone_2572,iphone_2572,2,1,1
dbfs:/twitter/iphone_2579,iphone_2579,3,1,2
dbfs:/twitter/iphone_2595,iphone_2595,1,0,1
dbfs:/twitter/iphone_2599,iphone_2599,1,1,0
dbfs:/twitter/iphone_2641,iphone_2641,0,1,1
dbfs:/twitter/iphone_2674,iphone_2674,1,0,1
dbfs:/twitter/iphone_2676,iphone_2676,1,0,1
dbfs:/twitter/iphone_2682,iphone_2682,1,1,0
dbfs:/twitter/iphone_2696,iphone_2696,1,0,1
dbfs:/twitter/iphone_283,iphone_283,2,1,1
dbfs:/twitter/iphone_2841,iphone_2841,1,0,1
dbfs:/twitter/iphone_2886,iphone_2886,1,0,1
dbfs:/twitter/iphone_2925,iphone_2925,1,1,0
dbfs:/twitter/iphone_2926,iphone_2926,1,0,1
dbfs:/twitter/iphone_2930,iphone_2930,1,1,0
dbfs:/twitter/iphone_2934,iphone_2934,1,0,1
dbfs:/twitter/iphone_298,iphone_298,1,1,0
dbfs:/twitter/iphone_299,iphone_299,1,1,0
dbfs:/twitter/iphone_3013,iphone_3013,2,1,1
dbfs:/twitter/iphone_3034,iphone_3034,1,0,1
dbfs:/twitter/iphone_3135,iphone_3135,1,1,0
dbfs:/twitter/iphone_3205,iphone_3205,1,0,1
dbfs:/twitter/iphone_3213,iphone_3213,1,0,1
dbfs:/twitter/iphone_322,iphone_322,1,0,1
dbfs:/twitter/iphone_3243,iphone_3243,1,1,0
dbfs:/twitter/iphone_327,iphone_327,1,0,1
dbfs:/twitter/iphone_3318,iphone_3318,1,1,0
dbfs:/twitter/iphone_3341,iphone_3341,1,0,1
dbfs:/twitter/iphone_3361,iphone_3361,1,1,0
dbfs:/twitter/iphone_3363,iphone_3363,1,1,0
dbfs:/twitter/iphone_3399,iphone_3399,2,1,1
dbfs:/twitter/iphone_3403,iphone_3403,3,1,2
dbfs:/twitter/iphone_3405,iphone_3405,1,0,1
dbfs:/twitter/iphone_3413,iphone_3413,1,1,0
dbfs:/twitter/iphone_3428,iphone_3428,0,1,1
dbfs:/twitter/iphone_3429,iphone_3429,1,0,1
dbfs:/twitter/iphone_3436,iphone_3436,1,0,1
dbfs:/twitter/iphone_3456,iphone_3456,1,1,0
dbfs:/twitter/iphone_346,iphone_346,1,0,1
dbfs:/twitter/iphone_3506,iphone_3506,2,1,1
dbfs:/twitter/iphone_353,iphone_353,1,0,1
dbfs:/twitter/iphone_3539,iphone_3539,1,0,1
dbfs:/twitter/iphone_354,iphone_354,1,1,0
dbfs:/twitter/iphone_3542,iphone_3542,1,0,1
dbfs:/twitter/iphone_3546,iphone_3546,1,1,0
dbfs:/twitter/iphone_3615,iphone_3615,1,0,1
dbfs:/twitter/iphone_3627,iphone_3627,1,1,0
dbfs:/twitter/iphone_3654,iphone_3654,1,1,0
dbfs:/twitter/iphone_3687,iphone_3687,2,1,1
dbfs:/twitter/iphone_370,iphone_370,1,0,1
dbfs:/twitter/iphone_3721,iphone_3721,1,1,0
